approval_number,establishment_name,address,county,country,source
4090,Asian Artisan Food Limited,"Unit B Ground Floor,, Liffey Trust Centre,, 117-126 Upper Sheriff Street",Dublin,Ireland,oapi_hse
4097,Dublin Central Kitchen,"Unit D, Liffey Trust Centre, 117-126 Sheriff Street Upper",Dublin,Ireland,oapi_hse
4081,Lola Hub Ltd,"Unit F, Liffey Trust Centre, 117-126 Sheriff Street Upper",Dublin,Ireland,oapi_hse
4105,Ripley Court Hotel,"37 Talbot Street, Dublin 1, Dublin 1",Dublin,Ireland,oapi_hse
4055,Apple Crumble & Fish Limited,"Unit 14, 288 Bannow Road, Broombridge Business Centre, Dublin 7",Dublin,Ireland,oapi_hse
4069,Camile Thai Hub,"Unit 9, Northern Cross Business Park, Northern Road, Finglas, Dublin 11",Dublin,Ireland,oapi_hse
2346,Fresh Cut Food Services Ltd,"68 Moyle Road, Dublin Industrial Estate, Glasnevin",Dublin,Ireland,oapi_hse
4109,The Tram Café Limited,"Unit 131D Slaney Road, Dublin Industrial Estate, Glasnevin",Dublin,Ireland,oapi_hse
4086,Cope Community Catering,"Unit 5, Ballybane Industrial Estate,, Tuam Road",Galway,Ireland,oapi_hse
4061,Curleys Quality Foods,"Carrowbrowne, Castlegar",Galway,Ireland,oapi_hse
4041,Galmere Fresh Foods Ltd.,"Ballybrit Upper Industrial Estate, Monivea Road",Galway,Ireland,oapi_hse
4062,Gourmet Sandwiches Ltd.,"Derrybrien, Loughrea",Galway,Ireland,oapi_hse
4051,Gourmet Tart Company Ltd,"Unit 1 Block 13, Ballybane Industrial Estate, Tuam Road",Galway,Ireland,oapi_hse
4009,M.P.G Foods Ltd,"Cregboy, Cregboy, Claregalway",Galway,Ireland,oapi_hse
4079,Tribe Hospitality Group Limited,"Tribe Hospitality Group Limited, Unit 13 Ballybrit Industrial Estate, Old Monivea Road",Galway,Ireland,oapi_hse
4100,Ard Beginish Production Kitchen,"Renard, Cahirciveen",Kerry,Ireland,oapi_hse
4098,Con's Restaurant,"Direencallaugh, Dauros, Kenmare",Kerry,Ireland,oapi_hse
4101,Garveys Gourmet Kitchen,"Unit 5 Monavalley Industrial Estate, Monavalley, Tralee",Kerry,Ireland,oapi_hse
4042,Gortamullen Bakery Ltd.,"Unit 3, Gortamullen Business Park, Mart Road, Kenmare",Kerry,Ireland,oapi_hse
4103,Kerry Food Market Limited,"Unit 9, Kerry Food Hub, Firies",Kerry,Ireland,oapi_hse
4066,Nutriquick Limited,"Unit 4 Blessington Industrial Estate, Blessington",Wicklow,Ireland,oapi_hse
4099,Cappercullen Foods Ltd,"Unit 1 Limerick Food Centre, Pearse Road, Raheen Business Park, Raheen",Limerick,Ireland,oapi_hse
4120,Shuttington Holdings Unlimited Company,"Bruree Food Centre, 40 Acres, Bruree, V35V578",Limerick,Ireland,oapi_hse
4077,The Tin Hat Unlimited T/A Hook and Ladder,"Unit One, Pearse House,, Pearse Road,, Raheen , Limerick",Limerick,Ireland,oapi_hse
4119,Tim's Table,"The Kitchen Hub, UNIT 3A Crossagalla industrial Estate, Ballysimon Road",Limerick,Ireland,oapi_hse
4082,HSE Louth Meath Mental Health Services,"St. Brigid's Hospital, Kells Road, Ardee",Louth,Ireland,oapi_hse
2560,Michael Carr Foods,"Unit 6A, Moy Valley Business Park, Primrose Hill, Ballina",Mayo,Ireland,oapi_hse
4048,Kinsale Bay Food Company Ltd,"CHR Hansen Building, Rohan Industrial Estate, Little Island",Cork,Ireland,oapi_hse
4117,Bio Science Nutrition Ireland,"Skule Hill, Fedamore",Limerick,Ireland,oapi_hse
4122,"Domanska Ltd, The Locke Bar","3 Georges Quay, Limerick",Limerick,Ireland,oapi_hse
4070,Compass Catering Services Ireland Ltd,"Rearcross Cookhouse, North Tipperary Food Works, Rearcross",Tipperary,Ireland,oapi_hse
4080,Devaney's Dinners,"Drom, Templemore",Tipperary,Ireland,oapi_hse
4095,Food Prep Ltd,"Unit 9, Doughcloyne Industrial Estate, Sarsfield Road, Wilton",Cork,Ireland,oapi_hse
2955,"Frankfield Supermarkets Ltd, T/A Ryan's Supervalu","Grange Road,, Frankfield,, Douglas",Cork,Ireland,oapi_hse
4045,Green Saffron Spices Limited,"Unit 5, Carrigaline Industrial Park, Crosshaven, Carrigaline",Cork,Ireland,oapi_hse
4104,Sage 2 Go Ltd,"Production Kitchen, Unit B Dosco Industrial Estate, South Douglas Road",Cork,Ireland,oapi_hse
4110,St. Lukes Main Kitchen,"Western Road, Clonmel",Tipperary,Ireland,oapi_hse
4044,Gate Gourmet Ireland,"South Apron, Dublin Airport",Dublin,Ireland,oapi_hse
4093,Pettits Kitchen,"Sleedagh Farm, Sleedagh, Murrintown",Wexford,Ireland,oapi_hse
4013,Zanna Cookhouse Limited,"St Iberius, Broadway, Wexford",Wexford,Ireland,oapi_hse
4092,Zanna Cookhouse Limited (Clonard),"Whitemill Industrial estate, Clonard, Wexford",Wexford,Ireland,oapi_hse
4019,Avoca Handweavers Limited,"Central Production Unit, IDA Business Park, Southern Cross Road, Bray",Wicklow,Ireland,oapi_hse
4004,Butler's Pantry,"16-17 Southern Cross Business Park, Boghall Road, Bray",Wicklow,Ireland,oapi_hse
4088,Gather and Gather Ltd.,"Unit 3, Atlas Court, IDA Business Park, Southern Cross Road, Bray",Wicklow,Ireland,oapi_hse
4071,Italicatessen Ltd,"Block F Newtown Business & Enterprise Centre, Newtownmountkennedy, Wicklow",Wicklow,Ireland,oapi_hse
4072,Le Paysan of Wicklow Limited,"Unit W11 Wicklow Enterprise Park, The Murrough, Wicklow Town",Wicklow,Ireland,oapi_hse
4018,Little Dinners Ltd,"Enterprise Unit 2, Rathdrum",Wicklow,Ireland,oapi_hse
4,Glenn Hunter/ Sligo Bay Oysters,"Carrickhenry, Carraroe",Sligo,Ireland,sfpa
11,CS Fish,Doonbeg,Clare,Ireland,sfpa
14,Tavne Ltd T/A Achill Oysters,"Riverside, Faunrusk, Barefield, Co. Clare",Clare,Ireland,sfpa
15,Moyasta Oysters Ltd,"Moyasta, Kilrush,",Clare,Ireland,sfpa
6,GraCom Ltd T/A Flaggy Shore Oysters,"Linnanaes Lobster Bar, New Quay, Co. Clare",Clare,Ireland,sfpa
