alert_id,date,title,category,country_origin,hazard_type,approval_numbers,product_name,source_url
2022.56,2022-09-09,Recall of a Batch of Häagen-Dazs Duo Vanilla Crunch Collection Ice Cream due to the Presence of the Unauthorised Pesticide Ethylene Oxide,,France,pesticide residues,,Häagen-Dazs Duo Vanilla Crunch Collection; pack size: 4x95ml,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-haagen-dazs-duo-vanilla-crunc
2022.32,2022-05-19,Recall of a Batch of Hao Hao Chicken Flavour Instant Noodles due to the Presence of the Unauthorised Pesticide Ethylene Oxide,,Vietnam,pesticide residues,,Hao Hao Chicken Flavour Instant Noodles; pack size: 74 g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-hao-hao-chicken-flavour-insta
2025.24,2025-06-02,Recall of a batch of The Happy Pear Lovely Basil Pesto due to the presence of Listeria monocytogenes,For Action,Ireland,Nature Of Danger:,,The Happy Pear Lovely Basil Pesto; pack size 135g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-happy-pear-lovely-basil-pesto
2022.07,2022-01-28,Recall of a Batch of Hempture CBD Oil,For Action,Ireland,Nature Of Danger:,,Hempture CBD Oil 10% 1000mg; pack size: 10ml,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-hempture-cbd-oil-due-to-the-p
2025.37,2025-08-01,Recall of a batch of Hogan's Farm Turkey Burgers due to the possible presence of Salmonella,For Action,,Nature Of Danger:,827,Hogan's Farm Turkey Burgers; pack size: 400g; approval number: IE 827 EC,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-hogan-s-farm-turkey-burgers
2025.12,2025-02-20,Recall of a batch of Horgans cheddar cheese due to the possible presence of Listeria monocytogenes,For Action,Ireland,Nature Of Danger:,1089,Horgans Irish Smoked Cheddar; pack size: 150g; approval number: IE 1089 EC,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-horgan-s-cheddar-cheese
2026.07,2026-02-11,Recall of a batch of frozen Hortex Zupa Wiosenna 9-Składnikowa due to the possible presence of glass fragments,For Action,Poland,foreign body,,Hortex Zupa Wiosenna 9-Składnikowa (9 Ingredient Spring Soup); frozen; pack size: 450g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-hortex-frozen-vegetables
2025.66,2025-12-05,Recall of a batch of Hosyaushka Mohn (poppy seeds) due to elevated levels of opium alkaloids,For Action,Poland,Recall of a batch of Hosyaushka Mohn (poppy seeds) due to elevated levels of opi,,Hosyaushka Mohn (poppy seeds); pack size: 250g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-hosyaushka-mohn-(poppy-seeds)
2024.24,2024-06-05,Recall of a batch of Hosyaushka Shelled Sunflower Seeds due to presence of Salmonella,For Action,Bulgaria,Nature Of Danger:,,"Hosyaushka Sonnenblumenkerne, geschält; shelled sunflower seeds; pack size: 250 g",https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-hosyaushka-shelled-sunflower
2023.03,2023-02-24,Recall of a batch of Iceland Creamy Garlic Chicken Breasts in Blankets due to the presence of Salmonella,For Action,Poland,Nature Of Danger:,,Iceland Cook from Frozen Creamy Garlic Chicken Breasts in Blankets; pack size: 410g; approval number: PL 22040305 WE,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-iceland-creamy-garlic-chicken
